Name,ApplyLink,Eligibility,Stream,Mode,Amount,Address,Status
Adobe India Women in Technology Scholarship,https://research.adobe.com,"Female, Engineering 1st Year, Income ≤ ₹8L",Computer Science / Engineering,bank,"₹1,00,000 + Laptop + Internship",,
Cummins India Foundation Scholarship,https://www.cumminsindia.com,"Diploma / Engineering Students, Income ≤ ₹5L",Engineering / Diploma,bank,"₹20,000 – ₹75,000",,
Amazon Future Engineer Scholarship,https://www.amazonfutureengineer.in,"Girls, Class 12 Passed, Income ≤ ₹8L",Computer Science / Engineering,bank,"₹50,000 per year",,
Flipkart Foundation Scholarship Program,https://www.buddy4study.com,"Class 12 Passed, Female, Income ≤ ₹5L",STEM / Engineering,bank,"₹ 50,000",,
HDFC Parivartan ECSS Programme,https://www.hdfcbankecss.com,"Class 1–PG, All Gender, Income ≤ ₹2.5L",All Streams,bank,"₹15,000 – ₹75,000",,
IDFC FIRST Bank Scholarship,https://www.buddy4study.com,"Class 11–UG, All Gender, Income ≤ ₹6L",All Streams,bank,"₹12,000 – ₹1,00,000",,
RBL Bank Siksha Scholarship,https://www.buddy4study.com,"Class 10–UG, All Gender, Income ≤ ₹5L",All Streams,bank,"₹15,000 – ₹25,000",,
Federal Bank Hormis Memorial Foundation Scholarship,https://www.federalbank.co.in,"Class 12+, Merit Based, Income ≤ ₹3L",Engineering / Medical / Professional,bank,"₹ 100,000",,
South Indian Bank (SIB) Scholarship Scheme,https://www.southindianbank.com,"Class 12 Passed, Merit Based",All Streams,bank,"₹ 40,000",,
Islamic Dev Bank,https://www.isdb.org/scholarships,Undergraduate to PhD (UG-PhD) students (Female & Male) are eligible (No income limit).,All Streams,bank,Not specified,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,s ,,,,
,,,,,,,
,,,,,,,
Khidmat Charitable Trust  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",Only For Medical Streams,offline,Partial Tuition Fee Support,"Nagpada,Byculla East, Mumbai-400008",Available
Education Promotion Trust  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Forbes Building, Charanjit Rai Marg, Fort, Mumbai-400001",Available
Taruk Charity Trust  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"152, Lohar Chawl, 2nd Floor, Mumbai-400002",Available
MESCO  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"110, Old Bengalipura Street, Near Crawford Market, Mumbai-400003",Available
Lions Club of Juhu  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Lions Seva Niketan, Near Juhu Church, Juhu, Mumbai-400049",Available
Jalaram Trust  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Plot No. 7, Sector 9A, Vashi, Navi Mumbai-400703",Available
Jaslok Hospital & Research Centre  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"15, Dr. Deshmukh Marg, Pedder Road, Mumbai-400026",Available
Shri Jay Ganesh Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Bhagwankala Building, Bhuleshwar, Mumbai-400002",Available
Marine Lines Junior Chamber  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Ranchod Bhavan, Dadiseth Agiary Lane, Kalbadevi, Mumbai-400002",Available
Fatehchand Paliram Seva Nidhi  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"121, Mittal Tower, B-Wing, Nariman Point, Mumbai-400021",Available
The World Zoroastrian Organisation Trust  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Hemavilla, 41-A, Gokhale Road, Dadar West, Mumbai-400028",Available
Cancer Patient Aid Association Guidance  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"5, Malhotra House, Opposite GPO, Fort, Mumbai-400001",Available
Saibaba Lila Welfare  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"14/B, 2nd Floor, Ratan Building, Nagdevi Cross Lane, Mumbai-400003",Available
Ramlila Charities  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"37, Maker Chambers III, Nariman Point, Mumbai-400021",Available
Bai Frenzi & Seth Fali Meherji Variava Charitable Trust  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Lalji Morarji Building, Opposite Churchgate Station, Mumbai-400020",Available
Leharchand Uttamchand Trust  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"101, Champa Gully, M.J. Market, Mumbai-400002",Available
Ferojsha Godrej Foundation  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Godrej Bhavan, 4th Floor, Hazarimal Somani Marg, Fort, Mumbai-400001",Available
Pestonji Davar Charitable Trust  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"3rd Floor, Opposite Khadi Bhandar, Fort, Mumbai-400001",Available
Hemant Bhai & Gandhi  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"105, Princess Street, Marine Lines, Mumbai-400002",Available
Time & Talent Club  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Victory Stall, Opposite Apollo Bunder, Colaba, Mumbai-400001",Available
Gokak Foundation  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Forbes Building, Charanjit Rai Marg, Fort, Mumbai-400001",Available
Sadguru Daskishin Saibaba Mandal  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Saibaba Mandir, Near Railway Station, Malad East, Mumbai-400097",Available
New Halai Memon Association  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"143/147, Kambekar Street, Masjid Bunder, Mumbai-400003",Available
Sapana Charitable Trust  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"24, 1st Floor, Champa Gully, Mumbai-400002",Available
Sadbhav Foundation  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"11, Botawala Building, Horniman Circle, Fort, Mumbai-400001",Available
Jeevan Jyot Cancer Relief & Care Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"3/9, Kondaji Chawl, Jerbai Wadia Road, Parel, Mumbai-400012",Available
Malad Educational & Medical Foundation  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"3, Hawa Hira Mahal Compound, Pushpa Park, Malad East, Mumbai-400097",Available
Dhirubhai Khakhar  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"c/o Janata Wafers, 456, Kalbadevi Road, Mumbai-400002",Available
"Manav Jyot, Shri K.C. Luthia  ",,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Nityanand Apartment, Dr. R.P. Road, Mulund West, Mumbai-400080",Available
M.K. Tata Trust  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Bombay House, 24, Homi Mody Street, Fort, Mumbai-400023",Available
Ratanbai & Hormusji Khbhabha Charitable Trust  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Forbes Building, Charanjit Rai Marg, Fort, Mumbai-400001",Available
A.H. Wadia Charitable Trust  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"70, Dr. V.B. Gandhi Road, Fort, Mumbai-400023",Available
Fazalbhoy Charitable Trust  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"42, Ebrahim Merchant Road, Mohammad Ali Road, Mumbai-400009",Available
Lady Tarabai C. Mehta Trust  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"10, Khatau Building, Shahid Bhagat Singh Road, Fort, Mumbai-400001",Available
M.J. Patel Public Charitable Trust  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"112, 1st Floor, Heera Panna Shopping Centre, Haji Ali, Mumbai-400026",Available
K.A. Bussa Charitable Trust  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"215, Commerce House, 140, Nagindas Master Road, Fort, Mumbai-400023",Available
Sheth Mafatlal Charitable Trust  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Mafatlal House, Backbay Reclamation, Mumbai-400020",Available
Damodar Anandji Charity Trust  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"66, Vaju Kotak Marg, Near GPO, Mumbai-400001",Available
Dhirajlal Talkchand Charitable Trust  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"101, Shanti Sadan, French Bridge, Opera House, Mumbai-400007",Available
D.N.E. Dinshaw Trust  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"412, Churchgate Chambers, 5, New Marine Lines, Mumbai-400020",Available
Suman Ramesh Tulsiani Charitable Trust  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"1105, Raheja Centre, Nariman Point, Mumbai-400021",Available
National Kidney Foundation  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"F-1, Nav-Vikas, Dr. Ambedkar Road, Matunga, Mumbai-400019",Available
Anjuman-E-Islam Charitable Trust  ,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"92, Dr. Dadabhai Naoroji Road, CSMT,Dhobi Talao, Fort, Mumbai – 400001",Available
Damodar Anandji Charity Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"66, Vaju Kotak Marg, Near G.P.O, Mumbai - 400001",Available
Purshottamdas Thakurdas Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Navsari Chambers, Purshottamdas Thakurdas Marg, Mumbai - 400001",Available
Dinshaw Hormusji Mody Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Kapadia Damania & Co., Bhupen Chambers, Dalal Street, Mumbai - 400001",Available
H. M. Mehta Charity Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Mehta House, 4th Floor, Apollo Street, Khushru Dubhash Marg, Mumbai - 400001",Available
A. B. Dubhash Charities,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Radio House, Khushru Dubhash Marg, Mumbai - 400001",Available
D. N. E. Dinshaw Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"P. C. Hansotia & Co., Jahangir Wadia Bldg., M. G. Road, Mumbai - 400001",Available
Kamani Foundation Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Kamani Chambers, Ballard Estate, Mumbai - 400001",Available
Allo & Minocher Dinshaw Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Union Co-op Insurance Bldg., 23, P. M. Road, Mumbai - 400001",Available
A. S. F. Patel Charities,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Yusuf Bldg., 1st Floor, Flora Fountain, Mumbai - 400001",Available
Ratanbai D. Mehta Charity Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"C/o Payne & Co., Esplanade House, Waudby Road, Mumbai - 400001",Available
Pratapsingh Mathurdas Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Commercial Union House, 9, Wallace Street, Mumbai - 400001",Available
Anjuman-e-Ismail Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Anjuman Islam High School, Opp. CST, Mumbai - 400001",Available
Cama Charity Fund,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"26-28, Dalal Street, Mumbai - 400001",Available
Kerawala Charity Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Kerawala Mansion, Carnac Road, Mumbai - 400001",Available
S. R. Bomanji Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"60, Forbes Street, Mumbai - 400001",Available
K. N. Shah Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"264, Samuel Street, Vadgadi, Mumbai - 400003",Available
Ratilal Lalchand Mehta,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"34, Ganga Vihar, Kazi Sayed Street, Mumbai - 400003",Available
Rameshbhai Kamdar,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"32, Sarang Street, Mumbai - 400003",Available
Hasmukhbhai Sanghvi,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"212, Yusuf Meharali Road, Masjid Bunder, Mumbai - 400003",Available
Dhirajlal Morarji Ajmera Charity Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"37-A, Sarang Street, Mumbai - 400003",Available
Rasikbhai Doshi,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"96, Abdul Rehman Street, Mumbai - 400003",Available
Swajan Foundation,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Sabun Bhavan, Sheriff Devji Street, Mumbai - 400003",Available
Dilipkumar Tahni Medical Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Bhajipala Street, Mumbai - 400003",Available
Ekta Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Panchratna, Opera House, Mumbai - 400004",Available
Naunihal Foundation,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Bhupati Chambers, Mathew Road, Mumbai - 400004",Available
Churchgate Lions Heart Foundation,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Murad Mansion, Opera House, Mumbai - 400004",Available
Taruk Charity Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Clover Apartments, Colaba, Mumbai - 400005",Available
Bhikhiben Shirinbhai Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Jupiter Bldg., Cuffe Parade, Mumbai - 400005",Available
Ratanbai & Hormusji Bhabha Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Sea Foam, Cuffe Parade, Mumbai - 400005",Available
Jeejeebhoy Dadabhoy Charity Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Pilot Bunder Road, Colaba, Mumbai - 400005",Available
Amirilal Ghelabhai Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Walkeshwar Road, Mumbai - 400006",Available
Garware Foundation,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Chowpatty Chambers, Mumbai - 400007",Available
M. J. Patel Public Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"P. D'Mello Road, Mumbai - 400009",Available
Bombay Silk Mills Ltd.,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Lalbaug, Mumbai - 400012",Available
Goodlass Nerolac Paints Ltd.,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Lower Parel, Mumbai - 400013",Available
Kothariswamiji,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Dadar, Mumbai - 400014",Available
Sitabai Abhyankar Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Mahim, Mumbai - 400016",Available
Eskay Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Worli, Mumbai - 400018",Available
Anchor Electronics & Electricals Pvt Ltd,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"New Marine Lines, Mumbai - 400020",Available
Lotus Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Near Liberty Cinema, Marine Lines, Mumbai - 400020",Available
Bombay Medical Aid Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Bombay Hospital, Marine Lines, Mumbai - 400020",Available
Fazalbhoy Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Marine Lines, Mumbai - 400020",Available
M. C. Ghia Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Opp. Churchgate Station, Mumbai - 400020",Available
Chief Minister's Relief Fund,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Mantralaya, Mumbai - 400020",Available
Anand Ashram Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Churchgate, Mumbai - 400020",Available
Seth Mafatlal Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Backbay Reclamation, Mumbai - 400021",Available
Om Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Nariman Point, Mumbai - 400021",Available
Hirachand Ambani Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Maker Chambers IV, Nariman Point, Mumbai - 400021",Available
Ramkrishna Bajaj Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Nariman Point, Mumbai - 400021",Available
Asian Paints Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Nariman Point, Mumbai - 400021",Available
G. D. Birla Foundation,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Nariman Point, Mumbai - 400021",Available
Jeevan Prakash,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Sion East, Mumbai - 400022",Available
Mahavir Manav Rahat Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Sion East, Mumbai - 400022",Available
N. M. Wadia Charities,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"M. G. Road, Mumbai - 400023",Available
Ratan Tata Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Bombay House, Mumbai - 400023",Available
Dorabji Tata Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Bombay House, Mumbai - 400023",Available
Century Seva Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Worli, Mumbai - 400025",Available
Siddhivinayak Temple Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Prabhadevi, Mumbai - 400025",Available
Helping Hand Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Vile Parle West, Mumbai - 400056",Available
Adinath Jankalyan Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Andheri West, Mumbai - 400058",Available
Shree Venkateshwara Nidhi,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Goregaon East, Mumbai - 400063",Available
Jeevan Deep Foundation,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Ghatkopar East, Mumbai - 400077",Available
Jalaram Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Mulund West, Mumbai - 400080",Available
Banaskantha Pragati Mandal,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Borivali West, Mumbai - 400092",Available
Excell Process Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Andheri East, Mumbai - 400093",Available
Dhirajlal Talkchand Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Malad East, Mumbai - 400097",Available
Supertech Service Ltd,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,Thane - 400604,Available
Prime Minister's Fund,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,New Delhi - 110011,Available
